maNganh,tenNganh,maKhoa
7520207,Trí tuệ nhân tạo vạn vật (AIoT),TTN
7480202,Chương trình An toàn thông tin – Chất lượng cao,ATTT
7480201_UDU,Chương trình Công nghệ thông tin (định hướng ứng dụng),CNTT
7340101,Chương trình Logistics và quản trị chuỗi cung ứng,QTKD
7480107,Ngành Trí tuệ nhân tạo,TTN
7480201_VNH,Chương trình Công nghệ thông tin Việt – Nhật,CNTT
7329001_GAM,Chương trình Thiết kế và Phát triển Game,DPTT
734030,Ngành Kế toán – Chất lượng cao chuẩn quốc tế – ACCA,TC
7520208,Ngành Công nghệ Internet vạn vật (IoT),TTN
7480102,Chương trình Kỹ thuật dữ liệu (ngành Mạng máy tính và truyền thông dữ liệu),CNTT
7340205,Ngành Công nghệ tài chính – Fintech,TC
7340301 (2022),Ngành Kế toán (2022),TC
7520216,Ngành Kỹ thuật Điều khiển và Tự động hóa,KTĐT
7480201(CLC),Ngành Công nghệ thông tin Hệ CLC,CNTT
7340301,Ngành Kế toán,TC
7340101,Ngành Quản trị kinh doanh,QTKD
7340122,Ngành Thương mại điện tử,QTKD
7320104,Ngành Truyền thông đa phương tiện,DPTT
7329001,Ngành Công nghệ đa phương tiện,DPTT
7510301,"Ngành Công nghệ kỹ thuật Điện, điện tử",KTĐT
7520207,Ngành Kỹ thuật Điện tử viễn thông,DTVT
7480202,Ngành An toàn thông tin,ATTT
7480201,Ngành Công nghệ thông tin,CNTT
7480101,Ngành Khoa học máy tính,CNTT
